customer_id,current_linkedin_activity,email_domain,linkedin_skill_code,mentor_program_involvement,negative_review_in_past_5_years,recruiting_location_code,recruiting_method_code,weekly_consumption,years_of_membership,survey_attitude_towards_company,survey_attitude_towards_product_features,survey_attitude_towards_performance,survey_attitude_towards_usability,survey_attitude_towards_product_quality,survey_attitude_towards_customer_service
3b1b99ac-1350-402d-966c-bea87c5417a6,2,admin.ch,21249,3,1,77494,43747,46,4,3,4,6,3,7,4
5ce53472-14db-4b18-86c8-718856e5b503,6,mysql.com,10000,4,0,21249,77494,30,1,1,1,3,2,4,2
51bcb18a-a90a-455a-be15-e92d82287d90,0,fastcompany.com,10000,4,1,77494,88743,34,3,2,3,5,2,6,5
ac93ecc4-d00b-4b0e-9088-31eb01e19256,1,ucoz.com,10000,5,1,10000,32498,42,2,2,4,5,1,7,5
21505d3b-4e9a-4f4c-a8a5-eacde47ca995,3,ucoz.com,21249,2,1,77494,32498,42,2,2,6,3,2,4,3
e77291fb-9451-467d-8371-23a5e1e506a4,2,fastcompany.com,10000,4,0,43747,10000,38,2,2,2,3,1,3,3
17f5c4f6-d167-489e-8a5c-540a8318ef5d,3,timesonline.co.uk,10000,2,0,21249,43747,42,3,2,3,3,2,7,5
f37a1e49-8cf8-4ef0-b21e-ebb952e083f6,3,timesonline.co.uk,21249,3,0,77494,43747,38,3,3,6,2,3,4,5
8ae1a6f0-2eb7-47c9-bac3-bb752cc593d0,0,admin.ch,10000,1,0,32498,88743,46,4,2,2,4,2,6,5
b9b9c58a-6931-4cd0-aebf-92bf752b7006,3,mysql.com,21249,5,0,43747,32498,38,1,3,6,3,2,3,5
3c38e172-cab8-4cc4-ad2a-8f9b1934008c,2,fastcompany.com,10000,3,1,21249,54996,50,4,3,4,3,2,5,5
8ba5fd5c-1109-47ea-9c2d-8ad77a36d622,2,nih.gov,21249,1,1,88743,54996,38,2,1,3,1,2,4,5
fc7b0fee-e122-425c-a951-936df8200da2,5,fastcompany.com,10000,1,0,32498,54996,42,0,3,2,3,1,4,5
61a196ca-7b55-4cff-b8a9-e0824a98341e,6,ucoz.com,21249,4,0,77494,32498,30,3,3,4,1,1,6,3
fd826c39-95bf-4685-9943-1d3812ac667a,1,ucoz.com,21249,4,1,54996,32498,34,2,1,2,2,2,1,4
eb0a6f24-a8ff-4e82-b58b-634680f5979a,6,nih.gov,10000,2,0,10000,77494,38,5,3,3,3,2,4,5
a655f88a-883f-4c32-a0d0-305c10789094,4,nih.gov,10000,3,0,88743,32498,50,1,3,3,5,1,4,3
db0899a2-9a8e-4e26-9c83-1d91a63e384a,6,fastcompany.com,10000,3,1,32498,21249,30,3,1,2,3,2,2,5
d85d517b-c2a8-494d-994d-ce0bfa6daa36,4,timesonline.co.uk,32498,4,1,10000,88743,46,6,1,4,5,2,2,5
e32bb5c2-f54e-40f0-9a10-73d739fae967,3,ucoz.com,32498,1,1,43747,32498,42,1,2,1,1,2,7,3
7bc5bfcb-4a9b-41af-9477-645e6ec4befc,2,timesonline.co.uk,32498,1,1,88743,54996,50,2,2,2,7,2,3,5
31f8f738-7538-4882-9fe9-c951eff40d43,6,ucoz.com,10000,2,0,77494,32498,42,3,3,5,4,2,3,4
e41a2389-d62a-4350-89d3-5ce49afa0ef4,2,admin.ch,10000,1,1,21249,10000,42,3,1,4,2,3,7,4
7133b1f2-6ba8-40eb-ad0e-9155c98814a1,4,mysql.com,10000,1,1,77494,66245,50,6,3,6,3,1,3,5
e2687ec1-1490-448f-a693-3e27ba0072f5,4,admin.ch,10000,5,1,21249,43747,38,5,1,2,4,1,7,2
1e5cdc69-2a1e-432d-8322-4fbe12a22aa4,3,ucoz.com,10000,1,1,77494,32498,50,0,1,6,6,1,7,4
8c0e00f3-a4c4-433f-9523-fca59829acfd,5,mysql.com,10000,4,1,66245,66245,46,6,2,6,2,2,4,3
b4a1cab7-ca10-4f57-b559-b98d8b38f7b4,0,fastcompany.com,10000,1,1,66245,32498,34,3,3,6,5,3,6,5
fe963a31-a318-4964-b3f9-7ed022e2305a,0,nih.gov,10000,1,1,66245,43747,38,3,3,6,4,3,6,3
4dc5e5cd-67fc-406c-a00b-5cfe6144e482,0,timesonline.co.uk,66245,5,1,32498,32498,34,4,1,2,4,1,3,3
27545e17-d154-4857-a471-c261a4be3137,2,mysql.com,10000,1,0,21249,32498,38,1,2,4,6,4,7,3
aff3d64a-a250-44af-a360-2f4b7b6c1260,1,mysql.com,10000,2,1,77494,32498,38,3,2,6,2,2,2,3
eee2e198-5c52-4b59-82f6-a2b49580c457,2,nih.gov,21249,1,1,43747,43747,34,3,2,6,3,4,4,5
dc51a840-36ac-4588-80c0-760cc45ffa88,5,nih.gov,32498,1,0,21249,43747,42,2,2,6,4,2,5,4
326c11ee-8627-4ebc-a970-a72665149adb,5,nih.gov,21249,1,0,32498,43747,42,4,1,1,4,1,5,4
afe2f3a7-2f33-4f1d-82ed-ec26fbabbf4a,6,admin.ch,21249,1,1,54996,10000,38,4,1,6,5,2,4,4
ee6c20bb-ebfb-477f-a6db-906c77b00bde,3,nih.gov,32498,1,1,32498,43747,42,2,2,4,5,1,4,5
c6f19f23-8edd-4e84-a109-b9cfd068021b,5,nih.gov,10000,3,1,21249,32498,42,2,2,1,5,4,2,2
7f1a1b6a-51f1-4d13-9c8f-60908b789aea,1,ucoz.com,10000,1,1,10000,54996,34,2,1,6,4,4,3,2
26b6e472-b189-479a-92b1-158e3351416b,5,fastcompany.com,21249,1,1,43747,32498,34,1,2,4,3,2,3,5
ba259d39-d4c0-4d5d-9e37-227d4847b9a0,3,ucoz.com,10000,1,0,32498,10000,38,2,2,5,6,1,3,4
2e0a9de6-9a7a-45ad-9718-7eb10199fc6c,6,mysql.com,21249,4,0,21249,32498,34,2,3,2,6,3,5,5
f6882c82-f2b6-4b10-80d2-d2e2f8f0db07,4,ucoz.com,21249,4,0,21249,66245,50,2,2,6,4,1,3,3
4d1e688f-94b1-468f-8714-f4095f2a41aa,3,mysql.com,10000,3,0,54996,21249,30,2,2,4,6,2,4,3
e53f22eb-cab3-42ab-a629-0ee335da0887,3,admin.ch,21249,2,1,54996,21249,38,6,3,1,2,2,4,5
a898e186-bd90-4a0e-b18e-5cd2aec2c677,6,admin.ch,21249,2,1,32498,10000,38,2,4,6,3,2,4,5
c1966cc0-c15a-400f-85df-0110653f8413,3,admin.ch,21249,1,1,66245,54996,46,3,3,3,3,2,5,5
f9c5297d-e3f0-4b1d-84c1-2026d44243c3,2,mysql.com,32498,5,1,77494,21249,50,5,2,6,4,1,2,4
6c0928d6-59d3-4256-b1cb-c108c2eaec1c,4,admin.ch,10000,2,0,88743,43747,46,5,1,6,4,1,5,5
b0b57c7a-a5c9-4b16-bebd-f8de46acb77a,4,mysql.com,10000,1,1,10000,21249,42,3,4,2,4,1,5,5
5f3001cc-235c-4685-b534-51a31bdedf44,2,ucoz.com,32498,3,0,77494,43747,42,5,3,2,4,1,4,4
7c8ae268-d805-491a-90a7-b49bc21f15b6,6,fastcompany.com,32498,2,0,66245,43747,38,3,2,5,6,2,7,5
f1f7f651-7f06-44a0-8999-5b4820304229,3,mysql.com,10000,4,0,43747,32498,38,2,3,4,7,2,2,5
519776d9-7fa7-45dc-82fb-5a356226df7f,3,admin.ch,10000,2,0,54996,43747,38,6,3,6,4,2,3,5
682f1086-e7e7-445a-829e-3e6ad2aecdff,1,nih.gov,10000,1,1,88743,54996,50,3,3,3,5,1,7,4
8e502169-fdea-47f7-966f-6786256da2e4,2,ucoz.com,32498,3,1,77494,21249,34,3,1,4,2,2,3,4
2ba5c370-e024-4735-9062-0bd2c2097103,6,mysql.com,32498,2,1,10000,43747,50,4,2,4,1,2,3,3
5b33a31d-65cf-432f-925c-931b35d67a51,3,nih.gov,21249,1,0,32498,32498,38,0,3,2,3,3,4,5
8340b4bb-c308-4c93-90ac-abe6496e0ab3,4,admin.ch,10000,1,0,43747,54996,42,5,5,2,4,2,3,5
0c012cea-bde7-4e80-ba63-b5f78712b50a,2,nih.gov,10000,1,1,43747,54996,34,5,1,4,1,3,4,2
6870cc04-83e9-4ae1-9089-0498e59830d1,3,ucoz.com,32498,2,1,43747,66245,30,3,1,4,2,2,6,4
8a69ad23-0fdb-4171-b256-92c883f2eaf7,6,admin.ch,10000,1,0,10000,43747,50,3,1,2,4,2,6,5
e8d9250a-1311-4f26-912c-e5aa01b2955f,3,nih.gov,21249,3,1,43747,21249,42,0,1,3,6,2,4,3
433ed7d1-cecf-42d2-846c-fb92507953a7,1,timesonline.co.uk,21249,3,1,43747,43747,38,6,3,3,6,1,7,4
6110499e-261b-496c-9e94-6e6abdd73ac5,4,mysql.com,10000,4,1,88743,43747,38,2,1,4,2,3,3,3
71afd0b4-fa24-4c29-aecb-ca60f329a0c7,6,fastcompany.com,21249,2,1,88743,10000,42,5,2,4,5,4,3,2
d36687e2-62be-41e6-b2af-1dd7c8f1fdb4,0,ucoz.com,10000,5,1,77494,21249,34,0,2,5,7,3,5,5
045b25e3-9c6c-4280-abd6-63631b45d2d1,1,nih.gov,10000,2,0,10000,32498,42,3,1,5,4,1,4,5
6db7a92e-6734-433a-b384-b7429f6b836a,1,mysql.com,10000,2,0,77494,43747,42,5,1,3,2,3,2,2
47935e80-ca8f-4510-82c7-447b9726b97a,6,fastcompany.com,21249,1,0,43747,66245,34,3,1,5,5,1,6,5
7c507c3c-5519-466d-892b-ca5e581f64c6,4,mysql.com,10000,5,0,88743,21249,42,2,2,5,3,5,4,5
0085d0f4-0865-47b7-9f32-32af57fcee7f,3,fastcompany.com,21249,1,0,77494,10000,38,3,2,6,4,1,6,3
00904d6d-5049-45ed-bc28-57f7a450b174,6,mysql.com,32498,1,1,21249,21249,46,2,1,2,5,2,3,5
1bf58cc6-bbb1-47f3-bdbd-f2c3e8fa4b8e,3,admin.ch,21249,1,1,21249,66245,34,1,1,3,3,5,3,3
6f85b2b4-73a3-4120-a5dc-d5958d4ea8a8,4,mysql.com,21249,1,0,54996,66245,34,2,1,4,2,4,2,3
81ae1f24-2453-4e77-9e10-9a08e9581d64,0,nih.gov,10000,1,0,54996,88743,42,3,2,5,4,2,6,5
a9269962-d6a4-435f-bb4b-ff70a0c821f2,3,fastcompany.com,10000,5,1,10000,32498,42,6,2,4,5,1,4,5
adaad5a7-d44e-4a4c-9003-2785cff9cae5,2,admin.ch,21249,3,0,32498,66245,34,1,3,4,2,1,6,5
4cb061f2-4596-466b-96ef-3f6c365f16d8,2,mysql.com,10000,3,1,10000,21249,42,2,3,4,2,3,4,5
cc626554-e7e4-4d40-abac-c98b75c58917,6,ucoz.com,10000,1,1,43747,21249,42,2,3,3,3,1,7,2
033a9abc-4759-417b-9c4c-5747982c02e5,4,fastcompany.com,10000,2,1,21249,43747,38,2,1,6,3,4,4,2
69e9c5d4-cadc-44ae-a4b1-80fbcc706d94,6,admin.ch,10000,5,1,43747,43747,34,2,3,6,5,2,5,4
c9be93b1-5108-4bb7-9e41-6779d3d0f945,3,mysql.com,21249,2,0,88743,32498,42,2,2,5,6,1,7,3
7cbbcdf7-2a2e-4dd2-8761-a2c18078f161,6,admin.ch,21249,3,0,77494,43747,38,3,2,3,4,1,4,2
d263eb95-dcdb-4a5d-a33d-0fa42abb3077,2,fastcompany.com,10000,1,1,54996,54996,42,5,2,3,4,3,3,4
9dcb8d98-5206-4f0f-b04b-a5bff81f3f19,3,mysql.com,21249,2,1,77494,21249,50,4,2,3,3,2,5,3
ab99a1ec-58f8-4f35-a71c-ff39d0607e83,1,nih.gov,10000,1,1,54996,54996,38,3,3,1,1,2,3,5
7848f0c2-e71a-4569-a138-5e15216ce5a4,3,fastcompany.com,21249,2,1,54996,43747,30,2,1,3,2,1,5,5
28f86bfc-bf7b-4a42-932d-90262dae2295,5,nih.gov,43747,2,1,43747,32498,50,4,4,1,2,3,5,4
441e77e4-f939-468f-a0d6-d825b06a4746,0,mysql.com,10000,5,1,43747,32498,42,0,1,1,3,1,3,4
c8c11f8b-e671-4d01-a7c1-a19b27649b3e,5,timesonline.co.uk,10000,4,1,43747,32498,42,2,3,5,3,1,7,4
468f44de-6bcf-4721-bea5-85d593bf798a,6,fastcompany.com,21249,5,0,43747,66245,34,4,1,4,7,1,5,3
4d5542cd-f780-4c9f-a55d-6ee591f02b53,5,fastcompany.com,10000,5,0,54996,32498,42,2,1,1,3,1,4,1
f39784aa-ddb1-4bb0-8e79-be6a307f0bfa,3,nih.gov,21249,3,0,21249,43747,50,6,2,2,5,3,3,5
a1e42e52-f86f-4529-9d61-f77566a3e74e,3,fastcompany.com,10000,1,1,77494,10000,50,3,1,5,4,1,4,5
800e88c1-0173-4072-9d5a-61e81ec73db9,0,mysql.com,10000,2,1,10000,21249,42,1,2,4,5,1,3,3
8210d29d-938e-444e-94dd-2fe064c03ac1,3,nih.gov,21249,3,1,21249,21249,42,1,2,6,3,3,6,5
085b67d6-aafe-43ae-a955-c02d58b93722,6,ucoz.com,10000,4,0,21249,43747,38,4,2,4,4,3,3,4
c5bc79fc-967e-4e89-bfc6-7d58b1babe34,4,fastcompany.com,21249,2,0,43747,21249,50,5,3,3,1,2,6,5
8f8dd50c-6ebf-47c8-9352-e36756dfbd67,6,nih.gov,21249,2,1,32498,43747,42,0,2,5,3,1,4,5
4c13eb32-af30-482c-8852-deabfcf06006,3,admin.ch,10000,4,1,88743,10000,38,3,3,3,2,1,4,4
e360ff46-8cc8-4add-b0af-83017b4a22fd,0,ucoz.com,10000,2,1,66245,32498,42,4,1,4,4,1,4,3
6aab1509-f283-4030-9b34-60212522af8a,2,timesonline.co.uk,21249,2,1,77494,66245,50,2,3,5,2,2,1,2
f372dfc4-b1be-41fd-91bb-0c481fa557a6,6,mysql.com,32498,5,0,54996,10000,38,2,1,1,3,1,6,5
4202568f-4302-4c0e-b555-314f8d04276d,2,fastcompany.com,43747,2,0,32498,54996,34,6,3,4,3,2,4,4
41006ca9-f8dd-4880-b1c9-4183749aa298,3,nih.gov,10000,1,0,88743,21249,50,1,2,1,3,2,1,4
65763c6d-be38-4a49-997d-926fef30e6e2,4,admin.ch,21249,1,1,10000,88743,42,5,2,6,2,2,3,5
556a813d-2236-4098-9549-665eaf501b75,1,admin.ch,21249,3,1,21249,77494,38,6,1,1,4,1,4,5
a24a252e-c350-45c3-a24d-bfa197c459ce,5,mysql.com,21249,3,1,77494,54996,46,0,5,6,3,2,2,4
622aef91-35d5-40ef-8cb2-6c93a741926e,3,ucoz.com,10000,4,0,54996,54996,42,3,2,6,5,1,3,4
0029b2ca-f783-4441-9635-851e0f445a53,3,ucoz.com,10000,4,0,66245,21249,42,1,1,1,3,1,4,4
8b0a73a2-5056-4ff2-b48d-c0c70bf19d5b,0,ucoz.com,21249,3,1,88743,10000,38,4,3,6,2,1,7,5
da285528-8879-42a8-b204-94c5e6ce6398,6,mysql.com,21249,2,0,77494,77494,46,3,2,6,3,2,5,3
3e46a0eb-5a75-47dc-86b1-6b76ad727dce,1,ucoz.com,10000,1,0,10000,32498,34,1,1,2,2,1,2,3
108f0642-8619-4b1e-8f05-f42f49351133,4,nih.gov,10000,1,0,77494,32498,38,1,2,3,5,2,4,5
5f0c5f48-2d54-4215-8cfb-d691370e299e,1,timesonline.co.uk,10000,1,0,21249,43747,46,5,1,2,2,2,4,2
14b6cab6-2ffd-4383-bb95-62d3a6c7ab23,1,mysql.com,43747,3,0,32498,32498,46,1,1,1,3,5,4,5
84021bb7-618b-437b-b7b0-9b8d8c3ad922,4,ucoz.com,10000,3,1,77494,54996,38,2,1,1,3,2,4,5
a33aa338-5f75-46a3-8d58-e330b8726efb,0,nih.gov,21249,1,0,10000,32498,50,2,4,5,2,2,4,3
cbfc249e-3741-415a-b0ec-5ba745c89314,3,mysql.com,10000,1,1,32498,10000,46,1,4,6,3,1,5,3
2fbe9ce0-d885-4e60-a45c-54052ab0c235,2,ucoz.com,32498,5,0,10000,77494,46,0,2,4,2,1,7,4
2a196cc9-c4e8-4245-b35d-8523fb9541cd,2,ucoz.com,10000,5,1,54996,66245,42,1,4,5,6,2,2,2
faa06519-8a88-4f5a-81ff-8051d8ccd583,0,fastcompany.com,21249,3,0,43747,32498,38,6,1,4,3,2,4,1
3c2264a3-fd54-4867-aab3-c84444d44a59,1,fastcompany.com,10000,2,1,66245,54996,42,3,1,4,2,1,4,5
810e10a9-848f-4264-87b0-8adb92ab62a5,2,fastcompany.com,32498,4,0,88743,32498,42,1,2,2,1,4,5,4
7724fd45-72b8-4bf9-ba90-e0fc18fd5222,2,mysql.com,21249,5,1,88743,32498,34,5,2,3,2,2,3,2
c08f95bf-cef7-4d69-a24d-6bbd309b9200,1,timesonline.co.uk,10000,3,0,54996,54996,38,2,4,5,3,1,1,5
221fa44c-bca2-49b1-9a34-88b09ed2da3e,6,fastcompany.com,10000,4,0,43747,43747,42,2,1,4,4,1,3,4
0e77fc04-34db-4eae-9cca-077182c77eed,0,mysql.com,10000,5,1,32498,43747,34,4,3,6,2,2,3,3
a0ea0a4a-bdf5-4ce0-afde-5d69ab344c15,2,ucoz.com,10000,3,1,54996,32498,38,3,3,1,3,1,2,3
22bffe8e-6189-4bcf-bacd-446fef3de0d7,1,mysql.com,10000,5,1,21249,32498,46,6,5,4,2,1,3,3
fe34bb39-9dc9-4ffa-8545-b141bad0604a,0,admin.ch,21249,1,1,66245,21249,34,5,3,5,7,1,5,3
49125929-54ba-4c9d-85dc-8a1b938b4ef5,0,ucoz.com,21249,1,1,21249,21249,42,6,2,6,2,1,4,4
1795016e-af13-4fb1-95e6-7a4f6fdc9d02,1,nih.gov,21249,5,0,77494,21249,42,2,4,2,2,1,5,4
694b9113-c922-46d0-b549-d41ced9efb7e,4,mysql.com,10000,5,0,21249,54996,42,2,2,4,2,2,4,4
8f0a0069-cca4-44db-92a2-8eee96d9d200,5,ucoz.com,21249,2,0,10000,43747,42,2,3,2,3,1,6,4
7451b7cf-369a-4ffa-be29-869383270c8e,0,fastcompany.com,32498,1,1,88743,32498,42,3,1,6,4,1,4,5
7bb53158-b1e8-4360-b14e-2ee390421d0b,6,ucoz.com,10000,4,1,21249,43747,34,2,3,4,5,4,4,2
69a86792-03be-4523-82ab-0b8fe5cd08b3,4,nih.gov,10000,5,1,77494,32498,42,2,3,5,2,1,2,3
88d6833d-841e-4b1f-b028-2cf637956d1b,3,mysql.com,21249,1,0,66245,10000,42,2,1,3,4,1,1,1
68e2db26-ca20-45a2-95f7-4afd7c188302,4,fastcompany.com,32498,1,1,77494,32498,38,0,1,5,2,1,6,4
65ebb5d8-d3e9-447c-8cea-0776fc573558,1,mysql.com,32498,2,0,66245,32498,46,4,2,2,4,1,3,3
c09a6fec-a16f-4bd5-b979-4f32443338f4,2,fastcompany.com,10000,1,0,66245,88743,34,3,2,6,4,1,2,5
f6425cf1-7cff-49c6-bc40-d6bb39d19830,3,nih.gov,10000,2,0,66245,88743,34,6,1,2,3,2,5,5
6e95a8c3-e039-4abf-9efc-319b1fe8621d,2,mysql.com,10000,1,1,43747,43747,30,1,3,4,2,1,2,5
9c0d49f2-3b0b-441f-98c9-cfd04366a5ab,0,mysql.com,32498,1,0,88743,43747,34,6,1,6,2,2,3,5
fec3ad42-016d-462d-9b27-4400d18de521,1,ucoz.com,10000,2,0,77494,54996,42,2,3,5,5,2,7,2
6122a72e-6967-43e5-9264-75db0425e6a7,5,timesonline.co.uk,10000,1,1,32498,32498,34,3,1,4,7,2,4,3
20c5184d-882d-4695-9ffe-de5b0500a226,1,nih.gov,21249,1,1,43747,54996,46,6,2,6,3,1,6,5
fb27e42b-be23-4c8b-aaf5-a673c59b108b,4,admin.ch,21249,2,1,88743,54996,38,2,1,3,2,2,6,3
81ccdc52-6f6d-45a5-af66-146726d1f93f,4,nih.gov,10000,2,1,21249,43747,50,1,1,4,5,2,2,5
af3ef56f-9c63-42c4-83a8-52b35b2bf2fc,1,ucoz.com,10000,2,0,32498,77494,38,3,1,2,3,4,3,5
3e58b069-4308-4c26-a7ee-36af27b97d19,1,timesonline.co.uk,10000,2,0,88743,54996,30,2,3,5,3,3,3,3
06516e9a-0ede-43b8-8a46-900e63321ab2,2,mysql.com,10000,2,1,32498,43747,38,6,2,6,3,1,5,3
08a332ba-1717-4eb8-8860-680e571f606d,3,fastcompany.com,32498,1,1,66245,21249,34,6,1,5,4,1,2,5
de4e7727-2317-4af5-a899-9861899a2e21,4,mysql.com,10000,3,1,66245,43747,50,4,1,1,4,1,3,2
236c1647-5c3d-4c53-9730-4dda6d20f29b,0,timesonline.co.uk,10000,5,1,21249,32498,38,4,1,6,3,2,1,4
ed6af416-40cc-4e20-a1b2-4776dd5e6161,3,admin.ch,10000,1,0,77494,43747,34,1,1,4,2,2,2,4
c9d7ee36-d3e4-4c42-b19b-8ded0809b858,5,mysql.com,10000,1,1,66245,43747,42,3,2,3,4,3,5,3
7f8c4168-8a40-45b3-bc64-90ca6c36f21e,3,fastcompany.com,21249,2,1,43747,54996,34,4,3,3,3,1,4,3
648e4eaa-871b-4f3c-b38c-9de220085eed,2,fastcompany.com,43747,2,1,54996,21249,50,3,1,3,5,1,3,2
17a4fd1f-15a7-49fe-9db5-019b597e5486,2,timesonline.co.uk,21249,2,0,88743,77494,38,2,2,4,4,2,3,5
624bd7b6-3daa-4ef6-9aa8-969b97497ea8,1,mysql.com,21249,1,0,88743,32498,30,3,1,6,3,2,6,3
246257b5-3285-4e66-ab05-16c51c05c6e0,5,admin.ch,43747,2,0,21249,32498,38,6,1,5,1,2,2,4
0785f467-80bf-4246-9389-27a19f9e40bd,4,timesonline.co.uk,21249,2,0,66245,32498,46,4,2,6,7,2,3,1
b01af12c-3fb9-467c-940d-f00df6ae1468,2,mysql.com,21249,2,0,10000,32498,50,2,2,2,2,3,3,5
664a09c8-31ba-4d9c-8b10-7258d7b9465f,6,mysql.com,10000,1,1,10000,21249,34,1,2,2,2,2,4,3
6a5bd6ff-9c55-49ff-bd4e-40bcc630bb7a,2,mysql.com,21249,1,1,43747,21249,50,4,2,2,3,1,2,2
73aaa9e7-d22c-4684-9ee9-b00b1dc6c631,3,fastcompany.com,32498,3,0,43747,21249,38,1,2,5,3,1,6,5
75e2079e-ec7c-4c01-ad66-d30515c3a525,1,admin.ch,21249,1,0,21249,43747,30,4,3,6,3,2,6,3
e56a6f6e-1a94-489a-9233-77376209d060,0,admin.ch,21249,5,0,10000,77494,46,2,2,4,3,2,6,3
d94ee68f-0678-4dc6-a979-9b55303c5268,3,timesonline.co.uk,10000,2,0,43747,54996,38,2,1,4,4,2,2,5
db7bb7cb-f668-403e-a2ec-512e6168d253,6,fastcompany.com,32498,2,1,21249,54996,38,5,2,5,6,4,3,4
37d23568-5224-4bc1-bd7a-058291d360f3,3,nih.gov,21249,2,1,32498,21249,42,1,1,4,3,1,6,2
1913fcec-0753-4478-a116-953a043dceaa,5,ucoz.com,21249,1,1,54996,10000,46,3,1,5,5,2,2,4
e0d04732-2e29-4c55-97b1-c9ab3f6f2ad8,4,ucoz.com,32498,2,1,77494,66245,46,6,2,3,3,2,2,5
0a093cb2-422a-4c5a-817b-d89e74ddba76,2,timesonline.co.uk,21249,5,0,21249,21249,38,4,2,4,5,2,5,4
250e885a-42f9-4c2e-a8c0-e454dfc4d9af,2,fastcompany.com,10000,2,0,43747,43747,42,3,4,2,3,1,2,3
79258551-07ee-4ea8-9126-63faeceac4a6,2,fastcompany.com,10000,1,0,88743,21249,46,4,3,6,4,2,3,4
680988d3-fd46-4786-af93-5450794d36d6,3,fastcompany.com,21249,3,1,66245,66245,50,2,1,2,4,2,5,2
79bc8fd4-80ee-4734-80d8-c38892bedfe4,1,timesonline.co.uk,21249,1,1,54996,43747,50,1,2,6,3,3,3,5
c8892810-991b-4658-b8c7-9a43e672bb83,6,ucoz.com,10000,3,0,21249,54996,38,2,2,6,2,2,4,5
f13b1611-e655-41b7-9837-5f091850b3d4,5,nih.gov,21249,2,0,10000,43747,38,3,3,6,2,3,4,2
340c59db-ea6d-4317-979d-14722d921276,1,admin.ch,21249,2,1,10000,54996,34,3,2,1,1,1,2,4
b05628d8-793a-4b85-bd8f-9d0ca6124e5e,4,mysql.com,10000,5,0,43747,43747,38,1,3,1,1,3,3,5
